RandomSearch,HillClimbing,Genetic,PBIL
0.8520032706459526,0.8444399018806215,0.8732624693376942,0.8659035159443991
0.8524121013900245,0.8325838103025347,0.8624284546197875,0.8810302534750614
0.8540474243663123,0.8648814390842191,0.8814390842191333,0.8736713000817662
0.8456663941128373,0.8395339329517579,0.8352412101390024,0.8620196238757154
0.8642681929681112,0.8732624693376942,0.866107931316435,0.8575224856909239
0.8840964840556009,0.8550695012264923,0.8583401471790678,0.8861406377759607
0.8368765331152903,0.8601798855273917,0.8714227309893704,0.8254292722812756
0.8577269010629599,0.8638593622240393,0.8708094848732625,0.8628372853638594
0.8683565004088307,0.875306623058054,0.8687653311529027,0.8763286999182338
0.8777596075224857,0.8542518397383483,0.8595666394112838,0.866721177432543
0.8434178250204415,0.8593622240392478,0.8620196238757154,0.8546606704824202
0.8783728536385936,0.8595666394112838,0.8761242845461978,0.8789860997547015
0.8742845461978741,0.8156173344235487,0.8675388389206868,0.8620196238757154
0.7800490596892886,0.8689697465249386,0.83892068683565,0.8630417007358954
0.8511856091578087,0.883278822567457,0.8638593622240393,0.839329517579722
0.85670482420278,0.8489370400654129,0.803556827473426,0.8726492232215862
0.865290269828291,0.8704006541291905,0.8612019623875715,0.8626328699918234
0.8385118560915781,0.8708094848732625,0.8438266557645135,0.8583401471790678
0.8718315617334423,0.8479149632052331,0.8605887162714636,0.8812346688470973
0.8714227309893704,0.8565004088307441,0.8495502861815208,0.8550695012264923
0.8605887162714636,0.8493458708094849,0.8722403924775143,0.8607931316434996
0.8712183156173344,0.8585445625511039,0.8536385936222404,0.8673344235486509
0.8726492232215862,0.8628372853638594,0.8706050695012265,0.8712183156173344
0.8601798855273917,0.8601798855273917,0.865290269828291,0.8203188879803761
0.8722403924775143,0.8413736713000818,0.8699918233851186,0.83892068683565
0.8614063777596075,0.883483237939493,0.884300899427637,0.8718315617334423
0.8428045789043336,0.8730580539656582,0.8892068683565004,0.8712183156173344
0.89329517579722,0.8334014717906787,0.8409648405560098,0.8650858544562551
0.848119378577269,0.8344235486508585,0.8546606704824202,0.8423957481602616
0.8278822567457073,0.8509811937857726,0.8640637775960752,0.8650858544562551
0.866721177432543,0.8440310711365495,0.8540474243663123,0.8507767784137367
0.8840964840556009,0.8738757154538022,0.874693376941946,0.865699100572363
0.8704006541291905,0.8669255928045789,0.8800081766148814,0.8885936222403925
0.865494685200327,0.8712183156173344,0.8609975470155355,0.8814390842191333
0.8759198691741619,0.8634505314799673,0.8515944399018807,0.8824611610793132
0.8757154538021259,0.8628372853638594,0.8673344235486509,0.8708094848732625
0.8738757154538022,0.8669255928045789,0.8135731807031888,0.8530253475061325
0.866721177432543,0.8520032706459526,0.8526165167620605,0.8708094848732625
0.8491414554374489,0.8718315617334423,0.8154129190515127,0.8673344235486509
0.8898201144726083,0.8714227309893704,0.8546606704824202,0.8685609157808667
0.8383074407195421,0.8699918233851186,0.8840964840556009,0.8589533932951758
0.8162305805396566,0.8556827473426002,0.8920686835650041,0.838716271463614
0.8438266557645135,0.865290269828291,0.8742845461978741,0.8781684382665577
0.8548650858544563,0.8509811937857726,0.8558871627146362,0.8724448078495503
0.8395339329517579,0.8321749795584628,0.8399427636958299,0.8593622240392478
0.8800081766148814,0.8697874080130826,0.8728536385936222,0.8755110384300899
0.8558871627146362,0.8607931316434996,0.8720359771054783,0.8528209321340965
0.8411692559280458,0.8378986099754702,0.8695829926410467,0.8278822567457073
0.8403515944399019,0.8612019623875715,0.8673344235486509,0.8614063777596075
0.8526165167620605,0.8671300081766149,0.8887980376124285,0.8775551921504497
0.8632461161079313,0.8597710547833197,0.8524121013900245,0.8773507767784138
0.8808258381030254,0.866107931316435,0.8806214227309894,0.8681520850367948
0.865699100572363,0.8544562551103843,0.8612019623875715,0.8434178250204415
0.8538430089942763,0.8730580539656582,0.8548650858544563,0.8440310711365495
0.865290269828291,0.866721177432543,0.8614063777596075,0.7430498773507768
0.8814390842191333,0.8742845461978741,0.8757154538021259,0.8736713000817662
0.8710139002452985,0.8742845461978741,0.8634505314799673,0.8503679476696647
0.866312346688471,0.8614063777596075,0.8789860997547015,0.8560915780866721
0.8372853638593623,0.8137775960752248,0.8669255928045789,0.8671300081766149
0.8381030253475061,0.8708094848732625,0.8857318070318888,0.8704006541291905
0.8783728536385936,0.8724448078495503,0.8779640228945217,0.8440310711365495
0.830130825838103,0.8368765331152903,0.8591578086672118,0.865699100572363
0.8685609157808667,0.8501635322976288,0.8638593622240393,0.8934995911692559
0.8550695012264923,0.8638593622240393,0.8722403924775143,0.7179067865903516
0.8501635322976288,0.8522076860179886,0.857318070318888,0.8689697465249386
0.8489370400654129,0.8605887162714636,0.8291087489779232,0.8708094848732625
0.8577269010629599,0.8524121013900245,0.8818479149632052,0.8716271463614064
0.8495502861815208,0.8677432542927228,0.8765331152902698,0.8284955028618152
0.8581357318070318,0.8671300081766149,0.8734668847097302,0.8334014717906787
0.884709730171709,0.8689697465249386,0.8793949304987735,0.8781684382665577
0.8679476696647588,0.8732624693376942,0.8201144726083401,0.8708094848732625
0.8795993458708095,0.8708094848732625,0.8716271463614064,0.8673344235486509
0.8828699918233851,0.8765331152902698,0.8808258381030254,0.8840964840556009
0.8681520850367948,0.8669255928045789,0.884300899427637,0.8736713000817662
0.8595666394112838,0.8761242845461978,0.8517988552739166,0.8763286999182338
0.8761242845461978,0.8642681929681112,0.866312346688471,0.8685609157808667
0.840147179067866,0.8771463614063778,0.8624284546197875,0.8853229762878169
0.8462796402289452,0.8761242845461978,0.8699918233851186,0.8460752248569092
0.8683565004088307,0.8501635322976288,0.8585445625511039,0.8798037612428454
0.8785772690106296,0.866721177432543,0.848119378577269,0.866312346688471
0.8562959934587081,0.8595666394112838,0.8534341782502044,0.8554783319705642
0.865494685200327,0.8528209321340965,0.8826655764513491,0.8419869174161897
0.8857318070318888,0.8448487326246934,0.8466884709730171,0.8546606704824202
0.8708094848732625,0.8620196238757154,0.8448487326246934,0.8716271463614064
